# German words     English meaning

# adjectives
neu	    new
# adjectives that describe personality
tolerant	tolerant
dynamisch	dynamic
aggressiv	aggressive
sympathisch	likeable
kompetent	competent
kreativ	    creative
bescheiden	modest
arrogant	arrogant
weise	    wise
hartnäckig	stubborn
optimistisch	optimistic
faul	lazy
großzügig	generous
verantwortungslos	irresponsible
fleißig	diligent
vernünftig	reasonable
einfühlsam	empathetic
sonderbar	weird
loyal	loyal
selbstbewusst	self-confident
angenehm	pleasant
geduldig	patient
schüchtern	shy
motiviert	motivated
entschlossen	determined
misstrauisch	distrustful
gebildet	educated
erfahren	experienced
höflich	    polite
romantisch	romantic
mutig	brave
spontan	    spontaneous
ehrgeizig	ambitious
zuverlässig	    reliable
moralisch	ethical
treu	faithful
konsequent	consequent
kompliziert	complicated
eifersüchtig	jealous
seltsam	strange
bezaubernd	charming
klug	clever
intelligent	intelligent
witzig	funny
pünktlich	punctual
sorgfältig	thorough
fair	fair
vorsichtig	careful
realistisch	realistic
überheblich	arrogant
aufmerksam	attentive
neugierig	curious
komisch	    strange
ehrlich	    honest
ernst	serious
dumm	stupid
verrückt	crazy
ungerecht	unfair
ruhig	calm
selbstlos	unselfish
lustig	funny
freundlich	friendly
nett	nice
natürlich	natural
ungeduldig	impatient
geschickt	skilled
vertrauenswürdig	trustworthy
anhänglich	clinging
hilfsbereit	    helpful
stur	stubborn
zielstrebig	    determined
wissbegierig	eager for knowledge
egoistisch	selfish
humorvoll	humorous
sarkastisch	sarcastic
kommunikativ	communicative
undankbar	ungrateful
verständnisvoll	    understanding
anziehend	attractive
launisch	moody
gierig	greedy
vergesslich	    oblivious
diszipliniert	disciplined
geizig	stingy
cholerisch	choleric
ausdauernd	persistent
pessimistisch	pessimistic
eingebildet	conceited
verantwortungsvoll	responsible
hinterhältig	devious
redegewandt	eloquent
zickig	touchy
abergläubisch	superstitious
vertrauensvoll	trustful
idealistisch	idealistic
eifrig	eager

# Feelings and moods
amüsiert	amused
angespannt	tensed
ängstlich	afraid
apathisch	apathetic
aufgeregt	excited
bedrückt	depressed
befriedigt	satisfied
begeistert	excited
beleidigt	offended
berührt	touched
beschämt	ashamed
besorgt	worried
beunruhigt	concerned
bewegt	moved
böse	angry
dankbar	thankful
deprimiert	depressed
durstig	thirsty
eifersüchtig	jealous
eingeschüchtert	awed
einsam	lonely
entmutigt	discouraged
entschlossen	determined
entspannt	relaxed
enttäuscht	disappointed
erfreut	pleased
erleichtert	relieved
erschöpft	exhausted
erschreckt	frightened
erschrocken	shocked
erstaunt	astonished
erwartungsvoll	expectant
fasziniert	intrigued
froh	glad
fröhlich	happy
frustriert	frustrated
gelangweilt	bored
geringwertig	inferior
gestresst	stressed
gleichgültig	indifferent
glücklich	happy
hilflos	helpless
hoffnungslos	hopeless
hoffnungsvoll	hopeful
hungrig	hungry
inspiriert	inspired
interessiert	interested
irritiert	irritated
motiviert	motivated
müde	tired
nachdenklich	thoughtful
nervös	nervous
optimistisch	optimistic
ruhig	calm
satt	full (had enough)
schuldig	guilty
sorgenfrei	worriless
stolz	proud
traurig	sad
überrascht	surprised
überwältigt	overwhelmed
unentschlossen	undecided
unglücklich	unhappy
unruhig	restless
unsicher	uncertain
unzufrieden	discontented
verängstigt	scared
verärgert	upset
verblüfft	stunned
verlegen	embarrassed
verletzlich	vulnerable
verletzt	hurt
verliebt	in love
verwirrt	confused
verwundert	astonished
verzweifelt	desperate
despaired
wahnsinnig	mad
wütend	angry
zögernd	hesitant
zornig	wrathful
zufrieden	pleased
zuversichtlich	confident

#verbs for Beginners
sein	to be
werden	to become
haben	to have
können	to can
to be able to
müssen	to must
to have to
geben	to give
sollen	to should
to ought
sagen	to say
wollen	to want
kommen	to come
gehen	to go
to walk
machen	to do
stehen	to stand
sehen	to see
finden	to find
bleiben	to stay
liegen	to lie
stellen	to put
nehmen	to take
dürfen	to be allowed
bringen	to bring
halten	to hold
spielen	to play
heißen	to be called
wissen	to know
erklären	to explain
gehören	to belong
beginnen	to begin
sprechen	to speak
tun	to do
mögen	to like
gewinnen	to win
bekommen	to get
schreiben	to write
arbeiten	to work
treffen	to meet
zahlen	to pay
leben	to live
laufen	to walk
brauchen	to need
feiern	to celebrate
fahren	to drive
suchen	to search
legen	to put
glauben	to believe
scheinen	to seem
schließen	to close
fehlen	to lack
to be missing
to be absent
kennen	to know
fragen	to ask

# names of weekdays, months and seasons
der Frühling	spring
der Herbst	autumn
fall
der Winter	winter
der Sommer	summer
der Januar	January
der Februar	February
der März	March
der April	April
der Mai	May
der Juni	June
der Juli	July
der August	August
der September	September
der Oktober	October
der November	November
der Dezember	December
der Montag	Monday
der Dienstag	Tuesday
der Mittwoch	Wednesday
der Donnerstag	Thursday
der Freitag	Friday
der Samstag	Saturday
der Sonntag	Sunday
